"","date","area","ws","wd","no2"
"1",2005-06-19 09:00:00,"BLR",3.1,150,70
"2",2005-06-19 10:00:00,"BLR",3.6,160,61
"3",2005-06-19 11:00:00,"BLR",3.6,170,70
"4",2005-06-19 12:00:00,"BLR",5.2,160,82
"5",2005-06-19 13:00:00,"BLR",5.7,180,68
"6",2005-06-19 14:00:00,"BLR",5.7,190,71
"7",2005-06-19 15:00:00,"BLR",5.7,190,68
"8",2005-06-19 16:00:00,"BLR",5.7,190,75
"9",2005-06-19 17:00:00,"BLR",6.2,190,85
"10",2005-06-19 18:00:00,"BLR",5.7,190,74
"11",2005-06-19 19:00:00,"BLR",4.6,190,76
"12",2005-06-19 20:00:00,"BLR",4.1,190,72
"13",2005-06-19 21:00:00,"BLR",3.1,180,69
"14",2005-06-19 22:00:00,"BLR",2.6,160,70
"15",2005-06-19 23:00:00,"BLR",2.6,220,86
"16",2005-06-20 00:00:00,"BLR",2.1,260,71
"17",2005-06-20 01:00:00,"BLR",2.1,250,58
"18",2005-06-20 02:00:00,"BLR",1.5,270,57
"19",2005-06-20 03:00:00,"BLR",1.5,270,60
"20",2005-06-20 04:00:00,"BLR",2.1,290,54
"21",2005-06-20 05:00:00,"BLR",2.1,310,41
"22",2005-06-20 06:00:00,"BLR",2.6,310,35
"23",2005-06-20 07:00:00,"BLR",3.1,330,38
"24",2005-06-20 08:00:00,"BLR",3.1,340,31
"25",2005-06-20 09:00:00,"BLR",2.6,360,33
"26",2005-06-20 10:00:00,"BLR",2.6,340,33
"27",2005-06-20 11:00:00,"BLR",2.6,340,29
"28",2005-06-20 12:00:00,"BLR",3.1,330,32
"29",2005-06-20 13:00:00,"BLR",3.1,330,35
"30",2005-06-20 14:00:00,"BLR",3.6,310,32
"31",2005-06-20 15:00:00,"BLR",3.1,310,48
"32",2005-06-20 16:00:00,"BLR",2.6,330,41
"33",2005-06-20 17:00:00,"BLR",2.1,320,41
"34",2005-06-20 18:00:00,"BLR",2.1,330,50
"35",2005-06-20 19:00:00,"BLR",2.6,320,30
"36",2005-06-20 20:00:00,"BLR",2.6,320,43
"37",2005-06-20 21:00:00,"BLR",2.1,350,57
"38",2005-06-20 22:00:00,"BLR",1.5,360,58
"39",2005-06-20 23:00:00,"BLR",3.1,280,50
"40",2005-06-21 00:00:00,"BLR",3.1,300,30
"41",2005-06-21 01:00:00,"BLR",3.1,300,16
"42",2005-06-21 02:00:00,"BLR",2.6,310,23
