"","Date","Area","nox","o3","pm10","so2","co","pm25"
"1","19-06-2005 09:00:00","BLR",129,14,25,NA,0.7758621,20
"2","19-06-2005 10:00:00","BLR",103,22,33,NA,0.862069,21
"3","19-06-2005 11:00:00","BLR",115,24,33,NA,1.12069,20
"4","19-06-2005 12:00:00","BLR",138,23,35,NA,1.206897,21
"5","19-06-2005 13:00:00","BLR",116,24,28,NA,0.862069,18
"6","19-06-2005 14:00:00","BLR",135,21,29,NA,1.034483,19
"7","19-06-2005 15:00:00","BLR",127,19,26,NA,0.862069,15
"8","19-06-2005 16:00:00","BLR",148,18,28,NA,1.293103,18
"9","19-06-2005 17:00:00","BLR",182,14,29,NA,1.637931,19
"10","19-06-2005 18:00:00","BLR",140,15,35,NA,1.206897,20
"11","19-06-2005 19:00:00","BLR",139,14,33,NA,1.034483,20
"12","19-06-2005 20:00:00","BLR",130,12,31,NA,0.862069,20
"13","19-06-2005 21:00:00","BLR",110,11,34,NA,0.7758621,19
"14","19-06-2005 22:00:00","BLR",123,12,29,NA,0.862069,19
"15","19-06-2005 23:00:00","BLR",176,6,34,NA,1.034483,23
"16","20-06-2005 00:00:00","BLR",135,7,33,NA,0.7758621,23
"17","20-06-2005 01:00:00","BLR",85,8,29,NA,0.6034483,19
"18","20-06-2005 02:00:00","BLR",83,6,30,NA,0.6034483,21
"19","20-06-2005 03:00:00","BLR",98,5,31,NA,0.6034483,23
"20","20-06-2005 04:00:00","BLR",84,4,31,NA,0.6034483,25
"21","20-06-2005 05:00:00","BLR",60,12,36,NA,0.5172414,29
"22","20-06-2005 06:00:00","BLR",64,7,35,NA,0.5172414,26
"23","20-06-2005 07:00:00","BLR",72,6,46,NA,0.5172414,30
"24","20-06-2005 08:00:00","BLR",58,7,47,NA,0.4310345,36
"25","20-06-2005 09:00:00","BLR",71,6,40,NA,0.4310345,31
"26","20-06-2005 10:00:00","BLR",61,11,36,NA,0.4310345,24
"27","20-06-2005 11:00:00","BLR",53,20,29,NA,0.4310345,20
"28","20-06-2005 12:00:00","BLR",51,26,25,NA,0.4310345,17
"29","20-06-2005 13:00:00","BLR",55,29,39,NA,0.4310345,17
"30","20-06-2005 14:00:00","BLR",53,33,19,NA,0.4310345,15
"31","20-06-2005 15:00:00","BLR",93,30,28,NA,0.5172414,15
"32","20-06-2005 16:00:00","BLR",62,34,21,NA,0.6034483,13
"33","20-06-2005 17:00:00","BLR",58,29,20,NA,0.5172414,12
"34","20-06-2005 18:00:00","BLR",71,25,21,NA,0.5172414,13
"35","20-06-2005 19:00:00","BLR",38,33,34,NA,0.2586207,15
"36","20-06-2005 20:00:00","BLR",57,19,24,NA,0.5172414,16
"37","20-06-2005 21:00:00","BLR",90,7,28,NA,0.6034483,18
"38","20-06-2005 22:00:00","BLR",95,5,37,NA,0.6034483,19
"39","20-06-2005 23:00:00","BLR",85,4,47,NA,0.6034483,38
"40","21-06-2005 00:00:00","BLR",38,11,23,NA,0.4310345,20
"41","21-06-2005 01:00:00","BLR",19,20,21,NA,0.2586207,12
"42","21-06-2005 02:00:00","BLR",30,13,20,NA,0.2586207,13
"43","21-06-2005 03:00:00","BLR",25,14,18,NA,0.2586207,10
"44","21-06-2005 04:00:00","BLR",31,14,11,NA,0.1724138,7
"45","21-06-2005 05:00:00","BLR",89,7,22,NA,0.4310345,11
"46","21-06-2005 06:00:00","BLR",85,10,18,NA,0.5172414,9
"47","21-06-2005 07:00:00","BLR",55,19,38,NA,0.4310345,6
"48","21-06-2005 08:00:00","BLR",68,19,14,NA,0.2586207,7
"49","21-06-2005 09:00:00","BLR",70,21,21,NA,0.2586207,8
"50","21-06-2005 10:00:00","BLR",68,24,15,NA,0.2586207,8
"51","21-06-2005 11:00:00","CHN",88,23,20,NA,0.4310345,8
"52","21-06-2005 12:00:00","CHN",121,21,23,NA,0.4310345,12
"53","21-06-2005 13:00:00","CHN",184,18,30,NA,0.6896552,14
"54","21-06-2005 14:00:00","CHN",152,16,31,NA,0.6034483,13
"55","21-06-2005 15:00:00","CHN",85,26,31,NA,0.4310345,14
"56","21-06-2005 16:00:00","CHN",63,29,24,NA,0.4310345,15
"57","21-06-2005 17:00:00","CHN",58,26,25,NA,0.4310345,16
"58","21-06-2005 18:00:00","CHN",38,28,22,NA,0.2586207,12
"59","21-06-2005 19:00:00","CHN",30,30,39,NA,0.2586207,11
"60","21-06-2005 20:00:00","CHN",46,19,19,NA,0.4310345,11
"61","21-06-2005 21:00:00","CHN",79,7,21,NA,0.5172414,14
"62","21-06-2005 22:00:00","CHN",68,7,26,NA,0.5172414,14
"63","21-06-2005 23:00:00","CHN",44,12,20,NA,0.4310345,12
"64","22-06-2005 00:00:00","CHN",58,10,20,NA,0.4310345,11
"65","22-06-2005 01:00:00","CHN",31,16,18,NA,0.2586207,9
"66","22-06-2005 02:00:00","CHN",134,1,24,NA,0.6034483,15
"67","22-06-2005 03:00:00","CHN",66,4,22,NA,0.4310345,14
"68","22-06-2005 04:00:00","CHN",88,2,23,NA,0.5172414,15
"69","22-06-2005 05:00:00","CHN",85,5,22,NA,0.5172414,14
"70","22-06-2005 06:00:00","CHN",411,2,54,NA,1.293103,32
"71","22-06-2005 07:00:00","CHN",410,2,61,NA,1.896552,39
"72","22-06-2005 08:00:00","CHN",279,5,50,NA,1.293103,24
"73","22-06-2005 09:00:00","CHN",307,5,53,NA,1.12069,29
"74","22-06-2005 10:00:00","CHN",332,5,51,NA,1.293103,30
"75","22-06-2005 11:00:00","CHN",324,8,51,NA,1.206897,32
"76","22-06-2005 12:00:00","CHN",253,16,49,NA,1.12069,25
"77","22-06-2005 13:00:00","CHN",339,11,53,NA,1.12069,27
"78","22-06-2005 14:00:00","CHN",292,19,NA,NA,1.293103,26
"79","22-06-2005 15:00:00","CHN",308,15,40,NA,1.37931,30
"80","22-06-2005 16:00:00","CHN",359,10,47,NA,2.068965,30
"81","22-06-2005 17:00:00","CHN",318,11,45,NA,2.327586,29
"82","22-06-2005 18:00:00","CHN",323,8,47,NA,1.982759,30
"83","22-06-2005 19:00:00","CHN",199,7,39,NA,1.206897,23
"84","22-06-2005 20:00:00","CHN",173,7,33,NA,1.034483,19
"85","22-06-2005 21:00:00","CHN",197,5,38,NA,1.034483,18
"86","22-06-2005 22:00:00","CHN",227,2,36,NA,1.12069,23
"87","22-06-2005 23:00:00","CHN",198,2,33,NA,0.862069,21
"88","23-06-2005 00:00:00","CHN",130,3,29,NA,0.7758621,20
"89","23-06-2005 01:00:00","CHN",94,5,25,NA,0.6034483,16
"90","23-06-2005 02:00:00","CHN",122,8,20,NA,0.6034483,11
"91","23-06-2005 03:00:00","CHN",130,4,21,NA,0.6896552,15
"92","23-06-2005 04:00:00","CHN",158,4,28,NA,0.6896552,18
"93","23-06-2005 05:00:00","CHN",163,4,66,NA,0.6896552,17
"94","23-06-2005 06:00:00","CHN",229,5,32,NA,0.862069,21
"95","23-06-2005 07:00:00","CHN",404,4,49,NA,1.810345,28
"96","23-06-2005 08:00:00","CHN",388,6,48,NA,1.637931,26
"97","23-06-2005 09:00:00","CHN",404,7,58,NA,1.293103,34
"98","23-06-2005 10:00:00","CHN",387,10,55,NA,1.293103,34
"99","23-06-2005 11:00:00","CHN",312,15,52,NA,1.293103,33
"100","23-06-2005 12:00:00","CHN",287,17,55,NA,1.293103,35
